External_ID__c,AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Cust360_Contact_Picture_URL__pc,DNB_Delinquency_Score__c,DNB_Failure_Score__c,DNB_PAYDEX_Score__c,DNB_Rating__c,Description,Equifax_Credit_Risk_Score__c,Equifax_Failure_Score_CR__c,Equifax_Payment_Index__c,Experian_Intelliscore__c,Experian_Risk_Band__c,Fax,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LastInteraction__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__Status__c,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__TotalRevenue__c,FinServ__WeddingAnniversary__pc,Fitch_Category__c,Fitch_Rating__c,INS_FEIN_Tax_ID__c,Industry,Jigsaw,MiddleName,NAICS_Code__c,NumberOfEmployees,PersonAssistantName,PersonAssistantPhone,PersonDepartment,PersonGender,PersonGenderIdentity,PersonLeadSource,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,PersonTitle,Rating,Salutation,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,Tier__c,Type
MDM048,ACCT-19868394,810969,Charlotte,United States,Address,35.2568,-80.8302,28270,NC,488 Willow Rd,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(978) 962-2284,,,,,,,Business,,,,,,,2026-02-13,,,,,,,Active,,,,810969,,,,905225519,Technology,90463459,,611110,8,,,,,,,,,,,,,,,,,,,,,Warm,,Charlotte,United States,Address,35.184,-80.814,28270,NC,488 Willow Rd,8211,Elementary & Secondary Schools,https://cumulus-318282.example.com,,Partner
MDM056,ACCT-29344117,717897,Philadelphia,United States,Address,39.9345,-75.1505,19162,PA,245 Willow Blvd,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(453) 520-7354,,,,,,,Business,,,,,,,2026-02-28,,,,,,,Active,,,,717897,,,,622874328,Education,36709546,,541512,6,,,,,,,,,,,,,,,,,,,,,Warm,,Philadelphia,United States,Address,39.9048,-75.1865,19162,PA,245 Willow Blvd,7372,Prepackaged Software,https://cumulus-384b07.example.com,,Partner
MDM049,ACCT-90339741,53405,Nashville,United States,Address,36.1191,-86.7335,37280,TN,245 Pine St,,,,,,Active client with diversified holdings.,,,,,,(760) 588-6724,,,,,,,Business,,,,,,,2025-12-28,,,,,,,Active,,,,53405,,,,159141763,Manufacturing,51064320,,541512,6,,,,,,,,,,,,,,,,,,,,,Warm,,Nashville,United States,Address,36.138,-86.7583,37280,TN,245 Pine St,7372,Prepackaged Software,https://cumulus-455230.example.com,,Partner
MDM090,ACCT-10170587,925516,Memphis,United States,Address,35.1502,-90.0931,37250,TN,245 Pine Ln,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(509) 890-8063,,,,,,,Business,,,,,,,2026-05-15,,,,,,,Active,,,,925516,,,,452820731,Technology,75774463,,523000,3,,,,,,,,,,,,,,,,,,,,,Warm,,Memphis,United States,Address,35.1205,-90.0439,37250,TN,245 Pine Ln,6199,Finance Services,https://cumulus-72ebfc.example.com,,Partner
MDM074,ACCT-41012213,141016,Miami,United States,Address,25.7314,-80.1968,33145,FL,102 Chestnut St,,,,,,Active client with diversified holdings.,,,,,,(670) 587-8514,,,,,,,Business,,,,,,,2026-05-27,,,,,,,Active,,,,141016,,,,191011652,Education,86018236,,531210,9,,,,,,,,,,,,,,,,,,,,,Hot,,Miami,United States,Address,25.7821,-80.2112,33145,FL,102 Chestnut St,6531,Real Estate Agents & Managers,https://cumulus-70b620.example.com,,Partner
MDM105,ACCT-28797538,595721,San Diego,United States,Address,32.7258,-117.118,90072,CA,245 Birch Blvd,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(668) 118-2223,,,,,,,Business,,,,,,,2025-08-03,,,,,,,Active,,,,595721,,,,030371283,Agriculture,24348703,,721110,6,,,,,,,,,,,,,,,,,,,,,Warm,,San Diego,United States,Address,32.6902,-117.1655,90072,CA,245 Birch Blvd,7011,Hotels & Motels,https://cumulus-b3f0ac.example.com,,Partner
MDM108,ACCT-10065335,401672,Jacksonville,United States,Address,30.3725,-81.6156,33103,FL,1505 Oak Blvd,,,,,,High-value relationship; quarterly review cadence.,,,,,,(319) 188-6350,,,,,,,Business,,,,,,,2026-02-25,,,,,,,Active,,,,401672,,,,553645939,Technology,98883477,,111110,1,,,,,,,,,,,,,,,,,,,,,Warm,,Jacksonville,United States,Address,30.3191,-81.6959,33103,FL,1505 Oak Blvd,0111,Wheat,https://cumulus-9995cd.example.com,,Partner
MDM024,ACCT-66171378,901958,Atlanta,United States,Address,33.761,-84.4082,30314,GA,3287 Pine Blvd,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(587) 940-2739,,,,,,,Business,,,,,,,2026-05-21,,,,,,,Active,,,,901958,,,,580213705,Banking,52825637,,336111,5,,,,,,,,,,,,,,,,,,,,,Warm,,Atlanta,United States,Address,33.7361,-84.4198,30314,GA,3287 Pine Blvd,3711,Motor Vehicles & Passenger Car Bodies,https://cumulus-1aa068.example.com,,Partner
MDM018,ACCT-36491386,802026,Seattle,United States,Address,47.646,-122.3231,98100,WA,102 Willow Ln,,,,,,Recent customer; growing wallet share.,,,,,,(649) 992-8079,,,,,,,Business,,,,,,,2026-01-02,,,,,,,Active,,,,802026,,,,126902876,Hospitality,13881381,,523000,7,,,,,,,,,,,,,,,,,,,,,Warm,,Seattle,United States,Address,47.6241,-122.3597,98100,WA,102 Willow Ln,6199,Finance Services,https://cumulus-61249f.example.com,,Partner
MDM038,ACCT-37303689,229120,Louisville,United States,Address,38.2966,-85.7613,40219,KY,12 Pine St,,,,,,Recent customer; growing wallet share.,,,,,,(946) 115-5527,,,,,,,Business,,,,,,,2026-04-11,,,,,,,Active,,,,229120,,,,628060542,Banking,93168321,,621111,8,,,,,,,,,,,,,,,,,,,,,Warm,,Louisville,United States,Address,38.2596,-85.757,40219,KY,12 Pine St,8011,Offices of Doctors of Medicine,https://cumulus-73d3e3.example.com,,Partner
MDM092,ACCT-00764009,174138,Arlington,United States,Address,32.7202,-97.1262,77030,TX,731 Cedar St,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(530) 772-5779,,,,,,,Business,,,,,,,2026-04-28,,,,,,,Active,,,,174138,,,,228278391,Education,52820282,,522110,7,,,,,,,,,,,,,,,,,,,,,Hot,,Arlington,United States,Address,32.7032,-97.1233,77030,TX,731 Cedar St,6020,Commercial Banks,https://cumulus-1aff08.example.com,,Partner
MDM088,ACCT-71321837,968365,Mesa,United States,Address,33.4613,-111.8474,85065,AZ,1100 Chestnut Blvd,,,,,,Reliable depositor; regular interaction with branch.,,,,,,(853) 395-9268,,,,,,,Business,,,,,,,2025-11-14,,,,,,,Active,,,,968365,,,,083449091,Insurance,34860006,,621111,6,,,,,,,,,,,,,,,,,,,,,Warm,,Mesa,United States,Address,33.375,-111.834,85065,AZ,1100 Chestnut Blvd,8011,Offices of Doctors of Medicine,https://cumulus-4ba3a1.example.com,,Partner
MDM033,ACCT-73753676,572695,El Paso,United States,Address,31.7126,-106.4862,77093,TX,3287 Elm Ln,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(826) 977-2330,,,,,,,Business,,,,,,,2025-11-12,,,,,,,Active,,,,572695,,,,047829256,Agriculture,99583302,,111110,6,,,,,,,,,,,,,,,,,,,,,Warm,,El Paso,United States,Address,31.7631,-106.4727,77093,TX,3287 Elm Ln,0111,Wheat,https://cumulus-6d9bf9.example.com,,Partner
MDM041,ACCT-13988885,399474,Atlanta,United States,Address,33.7136,-84.3624,30319,GA,2014 Walnut Ave,,,,,,High-value relationship; quarterly review cadence.,,,,,,(217) 527-9065,,,,,,,Business,,,,,,,2025-11-17,,,,,,,Active,,,,399474,,,,290900622,Energy,65795456,,721110,3,,,,,,,,,,,,,,,,,,,,,Warm,,Atlanta,United States,Address,33.7638,-84.439,30319,GA,2014 Walnut Ave,7011,Hotels & Motels,https://cumulus-3e1361.example.com,,Partner
MDM080,ACCT-97780205,808031,Kansas City,United States,Address,39.1257,-94.5737,64162,MO,2014 Sycamore St,,,,,,Long-tenured customer with strong banking relationship.,,,,,,(619) 099-9348,,,,,,,Business,,,,,,,2026-04-19,,,,,,,Active,,,,808031,,,,989554219,Manufacturing,75483623,,531210,4,,,,,,,,,,,,,,,,,,,,,Warm,,Kansas City,United States,Address,39.1091,-94.5738,64162,MO,2014 Sycamore St,6531,Real Estate Agents & Managers,https://cumulus-920090.example.com,,Partner
MDM053,ACCT-33778851,829662,Kansas City,United States,Address,39.1321,-94.5348,64133,MO,47 Chestnut Blvd,,,,,,Active client with diversified holdings.,,,,,,(785) 976-8030,,,,,,,Business,,,,,,,2026-05-05,,,,,,,Active,,,,829662,,,,192885003,Education,20515326,,522110,7,,,,,,,,,,,,,,,,,,,,,Warm,,Kansas City,United States,Address,39.0518,-94.5562,64133,MO,47 Chestnut Blvd,6020,Commercial Banks,https://cumulus-e4ac9c.example.com,,Partner
MDM028,ACCT-89129451,59669,San Jose,United States,Address,37.3047,-121.8704,90056,CA,488 Cedar Rd,,,,,,Active client with diversified holdings.,,,,,,(244) 849-9415,,,,,,,Business,,,,,,,2026-04-19,,,,,,,Active,,,,59669,,,,161012535,Insurance,93103366,,523000,7,,,,,,,,,,,,,,,,,,,,,Hot,,San Jose,United States,Address,37.2971,-121.8732,90056,CA,488 Cedar Rd,6199,Finance Services,https://cumulus-65d45f.example.com,,Partner
MDM025,ACCT-83907087,652813,San Diego,United States,Address,32.6782,-117.1874,90010,CA,488 Willow Ave,,,,,,High-value relationship; quarterly review cadence.,,,,,,(210) 367-4156,,,,,,,Business,,,,,,,2026-01-14,,,,,,,Active,,,,652813,,,,034405595,Insurance,06603043,,524113,3,,,,,,,,,,,,,,,,,,,,,Warm,,San Diego,United States,Address,32.7068,-117.2092,90010,CA,488 Willow Ave,6311,Life Insurance,https://cumulus-1bdb93.example.com,,Partner
BACKFILL-001am000026ZgO7AAK,ACCT-04727839,,,,Address,35.7971,-78.5923,,,,,526,1102,79,2A2,,840,1116,79,76,2,(779) 237-6758,,,,,,,Business,,,,,,,2025-12-23,,,,,,,Active,,,,,,Investment Grade,A,403316755,,64231198,,211120,291,,,,,,,,,,,,,,,,,,,,,Warm,,Raleigh,United States,Address,35.7589,-78.6846,28269,NC,1505 Sycamore Way,1311,Crude Petroleum & Natural Gas,https://cumulus-03ca93.example.com,,
BACKFILL-001am000026ZhLmAAK,ACCT-74978012,,,,Address,41.3031,-95.9086,,,,,411,1191,56,3A4,,612,1253,68,66,2,(886) 985-0168,,,,,,,Business,,,,,,,,,,,,,,Active,,,,,,Investment Grade,BBB,460723451,,18338410,,611110,50,,,,,,,,,,,,,,,,,,,,,Hot,,Omaha,United States,Address,41.2828,-95.9309,68114,NE,245 Willow Way,8211,Elementary & Secondary Schools,https://cumulus-95f13a.example.com,,
BACKFILL-001am000026ZkI2AAK,ACCT-42824451,,,,Address,29.7468,-95.3701,,,,,549,1154,74,2A2,,660,1158,68,70,2,(478) 248-7544,,,,,,,Business,,,,,,,2026-02-17,,,,,,,Active,,,,,,Investment Grade,A,123898349,,69847523,,531210,451,,,,,,,,,,,,,,,,,,,,,Warm,,Houston,United States,Address,29.7762,-95.3777,77033,TX,102 Oak Blvd,6531,Real Estate Agents & Managers,https://cumulus-21d02d.example.com,,
BACKFILL-001am000026ZldvAAC,ACCT-89270408,,,,Address,37.314,-121.9324,,,,,411,1206,67,2A4,,627,1215,77,69,2,(687) 484-8142,,,,,,,Business,,,,,,,2025-09-13,,,,,,,Active,,,,,,Investment Grade,BBB,986086787,,83125981,,611110,14,,,,,,,,,,,,,,,,,,,,,Warm,,San Jose,United States,Address,37.3417,-121.8545,90066,CA,102 Sycamore Way,8211,Elementary & Secondary Schools,https://cumulus-7ca114.example.com,,
BACKFILL-001am000026ZtgIAAS,ACCT-31962317,,,,Address,39.2886,-76.6596,,,,https://cust360-photos.example.com/001am000026ZtgIAAS.jpg,,,,,,,,,,,(583) 684-1148,Poor,Email;Text,Text,United States,Poor,574,Individual,2006-10-28,Male,Own,Intermediate,English,1420,,Davis,0.0,0,0,Moderate,Self-Service,Active,,448536181,Medium-Term,,,,,,,,H,,,,,Legal,Male,Male,Other,Address,39.3205,-76.6343,Baltimore Hills,United States,Address,39.2684,-76.5713,(608) 555-2135,21231,MD,731 Birch Blvd,he/him,Mr,,Mr,,,,,,,,,,,,Bronze,
BACKFILL-001am000026ZtgJAAS,ACCT-54950348,,,,Address,29.9812,-90.1048,,,,https://cust360-photos.example.com/001am000026ZtgJAAS.jpg,,,,,,,,,,,(404) 089-4794,Excellent,Email;Text,Email,United States,Poor,501,Individual,2000-09-12,Male,Own,Intermediate,English,3258,,Gonzalez,34800000.0,0,0,Moderate,Self-Service,Active,,634064348,Medium-Term,,,,,,,,G,,,,,HR,Male,Male,Web,Address,29.98,-90.0958,New Orleans Hills,United States,Address,29.9004,-90.0862,(961) 192-1393,70155,LA,1100 Maple St,he/him,Mr,,Mr,,,,,,,,,,,,Bronze,
BACKFILL-001am000026ZtgKAAS,ACCT-40581144,,,,Address,35.797,-78.6093,,,,https://cust360-photos.example.com/001am000026ZtgKAAS.jpg,,,,,,,,,,,(680) 579-2451,Poor,Email;Text,Email,United States,Poor,445,Individual,2023-09-19,Male,Own,Beginner,English,8674,,Martin,16800000.0,0,0,Conservative,Self-Service,Active,,693713451,Short-Term,,,,,,,,A,,,,,Engineering,Male,Male,Web,Address,35.7863,-78.6171,Raleigh Park,United States,Address,35.7407,-78.5911,(379) 412-1475,28284,NC,2014 Chestnut St,he/him,Mr,,Mr,,,,,,,,,,,,Bronze,
BACKFILL-001am000026ZtgLAAS,ACCT-17273278,,,,Address,43.0045,-87.8924,,,,https://cust360-photos.example.com/001am000026ZtgLAAS.jpg,,,,,,,,,,,(648) 864-5323,Excellent,Email;Text,Email,United States,Fair,583,Individual,2018-04-01,Male,Own,Intermediate,English,7563,,Smith,24400000.0,0,0,Moderate,Self-Service,Active,,619783009,Medium-Term,,,,,,,,D,,,,,HR,Male,Male,Referral,Address,43.0082,-87.9473,Milwaukee Park,United States,Address,43.0411,-87.8819,(277) 231-9172,53274,WI,488 Maple Ave,he/him,Mr,,Mr,,,,,,,,,,,,Bronze,
BACKFILL-001am000026ZtgMAAS,ACCT-04666281,,,,Address,36.1352,-115.1117,,,,https://cust360-photos.example.com/001am000026ZtgMAAS.jpg,,,,,,,,,,,(859) 525-2649,Excellent,Email;Text,Text,United States,Poor,549,Individual,2015-12-29,Female,Rent,Beginner,English,0348,,Moore,15200000.0,0,0,Conservative,Self-Service,Active,,470567556,Short-Term,,,,,,,,D,,,,,Engineering,Female,Female,Referral,Address,36.191,-115.1496,Las Vegas Plaza,United States,Address,36.1446,-115.1741,(598) 616-9720,89172,NV,245 Maple Ave,she/her,Ms,,Ms,,,,,,,,,,,,Bronze,
BACKFILL-001am000026ZtgNAAS,ACCT-65701690,,,,Address,32.8194,-96.8013,,,,https://cust360-photos.example.com/001am000026ZtgNAAS.jpg,,,,,,,,,,,(331) 572-0472,Excellent,Email;Text,Email,United States,Poor,569,Individual,2023-07-03,Female,Rent,Beginner,English,3103,,Williams,20695200.0,0,0,Conservative,Self-Service,Active,,352696209,Short-Term,,,,,,,,S,,,,,Customer Service,Female,Female,Referral,Address,32.7306,-96.761,Fort Worth,United States,Address,32.7194,-97.3042,(743) 092-9636,77055,TX,1100 Chestnut Ln,she/her,Mrs,,Mrs,,,,,,,,,,,,Bronze,
BACKFILL-001am000026ZtmjAAC,ACCT-20672671,,,,Address,35.1619,-90.0437,,,,,527,1243,56,2A4,,706,1252,62,59,3,(400) 841-7372,,,,,,,Business,,,,,,,2026-02-27,,,,,,,Active,,,,,,Investment Grade,BBB,366398211,,72878901,,541512,494,,,,,,,,,,,,,,,,,,,,,Warm,,Memphis,United States,Address,35.1601,-90.0468,37205,TN,102 Birch Ln,7372,Prepackaged Software,https://cumulus-b4dced.example.com,,
BACKFILL-001am000026ZtwPAAS,ACCT-19299635,,,,Address,39.732,-86.1598,,,,,459,1169,63,2A4,,678,1241,61,62,2,(896) 481-3308,,,,,,,Business,,,,,,,2025-07-02,,,,,,,Active,,,,,,Investment Grade,BBB,756498129,,16301031,,211120,12,,,,,,,,,,,,,,,,,,,,,Hot,,Indianapolis,United States,Address,39.7704,-86.1486,46224,IN,12 Elm St,1311,Crude Petroleum & Natural Gas,https://cumulus-040320.example.com,,
BACKFILL-001am0000296c7eAAA,ACCT-20032740,278163,Louisville,United States,Address,38.2965,-85.7993,40200,KY,1100 Birch Ave,,417,1308,52,3A3,Active client with diversified holdings.,596,1256,67,61,2,(573) 534-2795,,,,,,,Business,,,,,,,2025-06-23,,,,,,,Active,,,,278163,,Investment Grade,BBB,021018472,Banking,36496954,,541512,5,,,,,,,,,,,,,,,,,,,,,Warm,,Louisville,United States,Address,38.2402,-85.7902,40200,KY,1100 Birch Ave,7372,Prepackaged Software,https://cumulus-5643ae.example.com,,Partner
BACKFILL-001am0000296c7fAAA,ACCT-09366265,923657,Long Beach,United States,Address,33.7852,-118.2225,90051,CA,1505 Pine Blvd,,475,1253,68,3A2,Recent customer; growing wallet share.,641,1285,61,49,3,(910) 174-2693,,,,,,,Business,,,,,,,2026-01-20,,,,,,,Active,,,,923657,,Investment Grade,BBB,906641060,Manufacturing,78683075,,523000,8,,,,,,,,,,,,,,,,,,,,,Warm,,Long Beach,United States,Address,33.7587,-118.2278,90051,CA,1505 Pine Blvd,6199,Finance Services,https://cumulus-3f1f07.example.com,,Partner
BACKFILL-001am0000296c7gAAA,ACCT-17705120,493684,Charlotte,United States,Address,35.2535,-80.8385,28243,NC,731 Elm Way,,349,1338,50,3A4,Long-tenured customer with strong banking relationship.,486,1312,45,41,3,(229) 547-2106,,,,,,,Business,,,,,,,2025-08-05,,,,,,,Active,,,,493684,,Speculative,BB,512537925,Education,48862303,,541512,4,,,,,,,,,,,,,,,,,,,,,Warm,,Charlotte,United States,Address,35.2354,-80.8142,28243,NC,731 Elm Way,7372,Prepackaged Software,https://cumulus-e03c8a.example.com,,Partner
BACKFILL-001am0000296c7hAAA,ACCT-23499136,166856,Atlanta,United States,Address,33.7326,-84.408,30311,GA,731 Pine Blvd,,365,1322,60,3A4,Long-tenured customer with strong banking relationship.,473,1343,42,51,3,(406) 275-6425,,,,,,,Business,,,,,,,2025-07-05,,,,,,,Active,,,,166856,,Speculative,BB,570434679,Insurance,96981768,,522110,9,,,,,,,,,,,,,,,,,,,,,Warm,,Atlanta,United States,Address,33.7036,-84.3786,30311,GA,731 Pine Blvd,6020,Commercial Banks,https://cumulus-4c7d07.example.com,,Partner
BACKFILL-001am0000296c7iAAA,ACCT-92222112,96729,San Diego,United States,Address,32.7531,-117.1973,90016,CA,1100 Pine Rd,,356,1365,46,3A3,High-value relationship; quarterly review cadence.,486,1374,37,46,3,(939) 730-3062,,,,,,,Business,,,,,,,2025-11-03,,,,,,,Active,,,,96729,,Speculative,B,551404172,Technology,38460055,,111110,8,,,,,,,,,,,,,,,,,,,,,Warm,,San Diego,United States,Address,32.7157,-117.1798,90016,CA,1100 Pine Rd,0111,Wheat,https://cumulus-ceea8b.example.com,,Partner
