External_ID__c,AccountNumber,AnnualRevenue,BillingCity,BillingCountry,BillingGeocodeAccuracy,BillingLatitude,BillingLongitude,BillingPostalCode,BillingState,BillingStreet,Cust360_Contact_Picture_URL__pc,DNB_Delinquency_Score__c,DNB_PAYDEX_Score__c,DNB_Rating__c,Description,Equifax_Credit_Risk_Score__c,Equifax_Failure_Score_CR__c,Equifax_Payment_Index__c,Experian_Intelliscore__c,Experian_Risk_Band__c,Fax,FinServ__BorrowingHistory__c,FinServ__CommunicationPreferences__pc,FinServ__ContactPreference__pc,FinServ__CountryOfResidence__pc,FinServ__CreditRating__c,FinServ__CreditScore__c,FinServ__CustomerType__c,FinServ__EmployedSince__pc,FinServ__Gender__pc,FinServ__HomeOwnership__pc,FinServ__InvestmentExperience__c,FinServ__KYCDate__c,FinServ__KYCStatus__c,FinServ__LanguagesSpoken__pc,FinServ__LastFourDigitSSN__pc,FinServ__LastInteraction__c,FinServ__LifetimeValue__c,FinServ__MotherMaidenName__pc,FinServ__NetWorth__c,FinServ__NextReview__c,FinServ__NumberOfChildren__pc,FinServ__NumberOfDependents__pc,FinServ__RelationshipStartDate__c,FinServ__RiskTolerance__c,FinServ__ServiceModel__c,FinServ__Status__c,FinServ__TaxBracket__pc,FinServ__TaxId__pc,FinServ__TimeHorizon__c,FinServ__TotalRevenue__c,FinServ__WeddingAnniversary__pc,Fitch_Category__c,Fitch_Rating__c,INS_FEIN_Tax_ID__c,Industry,Jigsaw,MiddleName,NAICS_Code__c,NumberOfEmployees,PersonAssistantName,PersonAssistantPhone,PersonDepartment,PersonGender,PersonGenderIdentity,PersonLeadSource,PersonMailingGeocodeAccuracy,PersonMailingLatitude,PersonMailingLongitude,PersonOtherCity,PersonOtherCountry,PersonOtherGeocodeAccuracy,PersonOtherLatitude,PersonOtherLongitude,PersonOtherPhone,PersonOtherPostalCode,PersonOtherState,PersonOtherStreet,PersonPronouns,PersonTitle,Rating,Salutation,ShippingCity,ShippingCountry,ShippingGeocodeAccuracy,ShippingLatitude,ShippingLongitude,ShippingPostalCode,ShippingState,ShippingStreet,Sic,SicDesc,Site,Tier__c,Type
BACKFILL-001am000026ZgO7AAK,ACCT-04727839,,,,Address,35.8277,-78.6611,,,,,544,79,2A2,,769,1111,80,81,1,(779) 237-6758,,,,,,,Relational,,,,,2026-05-02,Overdue,,,2026-01-26,,,,2026-08-25,,,2026-04-20,,,Onboarding,,,,,,Investment Grade,A,403316755,,64231198,,211120,475,,,,,,,,,,,,,,,,,,,,,Warm,,Raleigh,United States,Address,35.7354,-78.644,28269,NC,1505 Sycamore Way,1311,Crude Petroleum & Natural Gas,https://cumulus-03ca93.example.com,,
BACKFILL-001am000026ZhLmAAK,ACCT-74978012,,,,Address,41.3031,-95.9086,,,,,442,53,3A4,,568,1253,68,66,2,(886) 985-0168,,,,,,,Relational,,,,,2026-04-30,Overdue,,,,,,,2026-11-23,,,2026-04-20,,,Onboarding,,,,,,Investment Grade,BBB,460723451,,18338410,,611110,50,,,,,,,,,,,,,,,,,,,,,Hot,,Omaha,United States,Address,41.2828,-95.9309,68114,NE,245 Willow Way,8211,Elementary & Secondary Schools,https://cumulus-95f13a.example.com,,
BACKFILL-001am000026ZkI2AAK,ACCT-42824451,,,,Address,29.7468,-95.3701,,,,,482,77,2A2,,669,1158,68,70,2,(478) 248-7544,,,,,,,Relational,,,,,2026-05-13,Overdue,,,2025-10-21,,,,2026-08-25,,,2026-04-20,,,Onboarding,,,,,,Investment Grade,A,123898349,,69847523,,531210,451,,,,,,,,,,,,,,,,,,,,,Warm,,Houston,United States,Address,29.7762,-95.3777,77033,TX,102 Oak Blvd,6531,Real Estate Agents & Managers,https://cumulus-21d02d.example.com,,
BACKFILL-001am000026ZldvAAC,ACCT-89270408,,,,Address,37.3112,-121.871,,,,,437,60,2A4,,625,1266,61,64,2,(687) 484-8142,,,,,,,Relational,,,,,2026-05-01,Overdue,,,2025-06-09,,,,2026-11-23,,,2026-04-20,,,Onboarding,,,,,,Investment Grade,BBB,986086787,,83125981,,611110,14,,,,,,,,,,,,,,,,,,,,,Warm,,San Jose,United States,Address,37.3832,-121.8928,90066,CA,102 Sycamore Way,8211,Elementary & Secondary Schools,https://cumulus-7ca114.example.com,,
BACKFILL-001am000026ZtgIAAS,ACCT-31962317,,,,Address,39.2404,-76.6399,,,,https://cust360-photos.example.com/001am000026ZtgIAAS.jpg,,,,,,,,,,(583) 684-1148,Excellent,Email;Text,Text,United States,Poor,574,Relational,1998-03-12,Male,Rent,Experienced,2026-04-20,Overdue,English,1420,,,Davis,0.0,2027-05-27,0,0,2026-04-20,Aggressive,Tier 3,Onboarding,,448536181,Long-Term,,,,,,,,H,,,,,Other,Male,Male,Web,Address,39.2657,-76.6316,Baltimore Hills,United States,Address,39.3287,-76.6114,(608) 555-2135,21231,MD,731 Birch Blvd,he/him,Mr,,Mr,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgJAAS,ACCT-54950348,,,,Address,29.947,-90.0439,,,,https://cust360-photos.example.com/001am000026ZtgJAAS.jpg,,,,,,,,,,(404) 089-4794,Excellent,Email;Text,Email,United States,Poor,501,Relational,2010-08-29,Male,Own,Intermediate,2026-05-10,Overdue,English,3258,,,Gonzalez,34800000.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Onboarding,,634064348,Medium-Term,,,,,,,,G,,,,,Engineering,Male,Male,Partner,Address,29.9004,-90.0862,New Orleans Hills,United States,Address,29.9812,-90.1048,(961) 192-1393,70155,LA,1100 Maple St,he/him,Mr,,Mr,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgKAAS,ACCT-40581144,,,,Address,35.8214,-78.6601,,,,https://cust360-photos.example.com/001am000026ZtgKAAS.jpg,,,,,,,,,,(680) 579-2451,Excellent,Email;Text,Email,United States,Poor,445,Relational,2011-04-25,Male,Rent,Experienced,2026-05-08,Overdue,English,8674,,,Martin,16800000.0,2027-05-27,0,0,2026-04-20,Aggressive,Tier 3,Onboarding,,693713451,Long-Term,,,,,,,,A,,,,,Operations,Male,Male,Referral,Address,35.8194,-78.6537,Raleigh Park,United States,Address,35.7871,-78.6259,(379) 412-1475,28284,NC,2014 Chestnut St,he/him,Mr,,Mr,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgLAAS,ACCT-17273278,,,,Address,43.0576,-87.9522,,,,https://cust360-photos.example.com/001am000026ZtgLAAS.jpg,,,,,,,,,,(648) 864-5323,Excellent,Email;Text,Email,United States,Fair,583,Relational,2011-09-20,Male,Own,Intermediate,2026-05-18,Overdue,English,7563,,,Smith,24400000.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Onboarding,,619783009,Medium-Term,,,,,,,,D,,,,,Sales,Male,Male,Web,Address,43.0027,-87.9089,Milwaukee Park,United States,Address,43.0681,-87.9455,(277) 231-9172,53274,WI,488 Maple Ave,he/him,Mr,,Mr,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgMAAS,ACCT-04666281,,,,Address,36.2083,-115.1037,,,,https://cust360-photos.example.com/001am000026ZtgMAAS.jpg,,,,,,,,,,(859) 525-2649,Poor,Email;Text,Phone,United States,Poor,549,Relational,2006-04-08,Female,Rent,Intermediate,2026-05-04,Overdue,English,0348,,,Moore,15200000.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Onboarding,,470567556,Medium-Term,,,,,,,,D,,,,,Sales,Female,Female,Referral,Address,36.158,-115.1863,Las Vegas Plaza,United States,Address,36.2097,-115.1122,(598) 616-9720,89172,NV,245 Maple Ave,she/her,Mrs,,Mrs,,,,,,,,,,,,C,
BACKFILL-001am000026ZtgNAAS,ACCT-65701690,,,,Address,32.8032,-96.7956,,,,https://cust360-photos.example.com/001am000026ZtgNAAS.jpg,,,,,,,,,,(331) 572-0472,Excellent,Email;Text,Phone,United States,Poor,569,Relational,2024-02-26,Female,Own,Intermediate,2026-05-25,Overdue,English,3103,,,Williams,20695200.0,2027-05-27,0,0,2026-04-20,Moderate,Tier 3,Onboarding,,352696209,Medium-Term,,,,,,,,S,,,,,Finance,Female,Female,Partner,Address,32.8256,-96.7985,Fort Worth,United States,Address,32.7846,-97.2806,(743) 092-9636,77055,TX,1100 Chestnut Ln,she/her,Ms,,Ms,,,,,,,,,,,,C,
BACKFILL-001am000026ZtmjAAC,ACCT-20672671,,,,Address,35.1532,-90.0646,,,,,447,65,2A3,,657,1161,60,68,2,(400) 841-7372,,,,,,,Relational,,,,,2026-05-09,Overdue,,,2026-04-11,,,,2026-08-25,,,2026-04-20,,,Onboarding,,,,,,Investment Grade,BBB,366398211,,72878901,,541512,63,,,,,,,,,,,,,,,,,,,,,Warm,,Memphis,United States,Address,35.1676,-90.0017,37205,TN,102 Birch Ln,7372,Prepackaged Software,https://cumulus-b4dced.example.com,,
BACKFILL-001am000026ZtwPAAS,ACCT-19299635,,,,Address,39.7417,-86.1628,,,,,470,67,2A4,,764,1183,69,67,2,(896) 481-3308,,,,,,,Relational,,,,,2026-04-28,Overdue,,,2026-03-06,,,,2026-11-23,,,2026-04-20,,,Onboarding,,,,,,Investment Grade,BBB,756498129,,16301031,,211120,49,,,,,,,,,,,,,,,,,,,,,Hot,,Indianapolis,United States,Address,39.8155,-86.1736,46224,IN,12 Elm St,1311,Crude Petroleum & Natural Gas,https://cumulus-040320.example.com,,
BACKFILL-001am0000296c7eAAA,ACCT-20032740,762103,Louisville,United States,Address,38.2251,-85.8078,40200,KY,1100 Birch Ave,,370,67,3A2,Active client with diversified holdings.,608,1218,61,58,3,(573) 534-2795,,,,,,,Relational,,,,,2026-05-19,Overdue,,,2025-09-16,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,762103,,Investment Grade,BBB,021018472,Insurance,36496954,,541512,7,,,,,,,,,,,,,,,,,,,,,Warm,,Louisville,United States,Address,38.2644,-85.7142,40200,KY,1100 Birch Ave,7372,Prepackaged Software,https://cumulus-5643ae.example.com,,Mid-Market
BACKFILL-001am0000296c7fAAA,ACCT-09366265,539405,Long Beach,United States,Address,33.7375,-118.2013,90051,CA,1505 Pine Blvd,,446,61,3A3,Recent customer; growing wallet share.,622,1183,60,64,2,(910) 174-2693,,,,,,,Relational,,,,,2026-05-16,Overdue,,,2026-03-13,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,539405,,Investment Grade,BBB,906641060,Retail,78683075,,523000,8,,,,,,,,,,,,,,,,,,,,,Warm,,Long Beach,United States,Address,33.7322,-118.2004,90051,CA,1505 Pine Blvd,6199,Finance Services,https://cumulus-3f1f07.example.com,,Mid-Market
BACKFILL-001am0000296c7gAAA,ACCT-17705120,283761,Charlotte,United States,Address,35.2315,-80.8346,28243,NC,731 Elm Way,,327,53,3A2,Long-tenured customer with strong banking relationship.,459,1340,42,45,3,(229) 547-2106,,,,,,,Relational,,,,,2026-05-19,Overdue,,,2025-12-18,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,283761,,Speculative,BB,512537925,Technology,48862303,,541512,8,,,,,,,,,,,,,,,,,,,,,Warm,,Charlotte,United States,Address,35.2558,-80.8224,28243,NC,731 Elm Way,7372,Prepackaged Software,https://cumulus-e03c8a.example.com,,Mid-Market
BACKFILL-001am0000296c7hAAA,ACCT-23499136,87543,Atlanta,United States,Address,33.7614,-84.4143,30311,GA,731 Pine Blvd,,339,53,3A2,Long-tenured customer with strong banking relationship.,558,1293,41,48,3,(406) 275-6425,,,,,,,Relational,,,,,2026-05-24,Overdue,,,2025-06-02,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,87543,,Speculative,BB,570434679,Hospitality,96981768,,522110,6,,,,,,,,,,,,,,,,,,,,,Warm,,Atlanta,United States,Address,33.7064,-84.3761,30311,GA,731 Pine Blvd,6020,Commercial Banks,https://cumulus-4c7d07.example.com,,Mid-Market
BACKFILL-001am0000296c7iAAA,ACCT-92222112,383504,San Diego,United States,Address,32.7212,-117.2096,90016,CA,1100 Pine Rd,,347,37,3A1,High-value relationship; quarterly review cadence.,508,1420,42,44,3,(939) 730-3062,,,,,,,Relational,,,,,2026-05-23,Overdue,,,2025-10-15,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,383504,,Speculative,B,551404172,Banking,38460055,,111110,3,,,,,,,,,,,,,,,,,,,,,Warm,,San Diego,United States,Address,32.7039,-117.199,90016,CA,1100 Pine Rd,0111,Wheat,https://cumulus-ceea8b.example.com,,Mid-Market
BACKFILL-001am0000296c7jAAA,ACCT-29926889,648495,Detroit,United States,Address,42.2818,-83.0392,48286,MI,1505 Sycamore Blvd,,437,47,3A3,Recent customer; growing wallet share.,667,1290,51,50,3,(344) 710-5963,,,,,,,Relational,,,,,2026-05-22,Overdue,,,2025-07-24,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,648495,,Speculative,BB,347615138,Manufacturing,20650263,,541512,2,,,,,,,,,,,,,,,,,,,,,Hot,,Detroit,United States,Address,42.3141,-83.0648,48286,MI,1505 Sycamore Blvd,7372,Prepackaged Software,https://cumulus-9dd392.example.com,,Mid-Market
BACKFILL-001am0000296c7kAAA,ACCT-42140033,708648,Denver,United States,Address,39.7667,-104.9444,80232,CO,3287 Chestnut Way,,385,46,3A3,High-value relationship; quarterly review cadence.,494,1355,48,44,3,(516) 096-8735,,,,,,,Relational,,,,,2026-05-25,Overdue,,,2025-12-08,,,,2027-05-27,,,2026-05-12,,,Onboarding,,,,708648,,Speculative,BB,424817298,Insurance,21036800,,336111,7,,,,,,,,,,,,,,,,,,,,,Warm,,Denver,United States,Address,39.7219,-105.0322,80232,CO,3287 Chestnut Way,3711,Motor Vehicles & Passenger Car Bodies,https://cumulus-4e5eb5.example.com,,Mid-Market
HYDRATE-RT-000001,ACCT-000001,,,,,,,,,,https://cust360-photos.example.com/001am00002A3037AAB.jpg,,,,,,,,,,(270) 885-4615,Excellent,Email;Text,Text,United States,Poor,547,Relational,2020-01-01,Female,Own,Beginner,2026-05-25,Overdue,English,0295,2025-09-30,,Miller,0.0,2027-05-27,0,0,2026-05-20,Conservative,Tier 3,Onboarding,,858267137,Short-Term,,,,,,,,G,,,,,Operations,Female,Female,Other,Address,25.7809,-80.1597,Jacksonville,United States,Address,30.3766,-81.6602,(667) 534-8739,33158,FL,12 Pine Ave,she/her,Mrs,,,,,,,,,,,,,,C,
HYDRATE-RT-000002,ACCT-000002,,,,,,,,,,https://cust360-photos.example.com/001am00002A3038AAB.jpg,,,,,,,,,,(875) 263-7471,Excellent,Email;Text,Phone,United States,Poor,526,Relational,2022-01-04,Female,Own,Beginner,2026-05-20,Overdue,English,6182,2026-04-20,,Thomas,0.0,2027-05-27,0,0,2026-05-20,Conservative,Tier 3,Onboarding,,984447948,Short-Term,,,,,,,,X,,,,,Sales,Female,Female,Web,Address,36.1661,-95.9604,Tulsa Plaza,United States,Address,36.1005,-95.9901,(820) 610-8293,73192,OK,1505 Cedar Ave,she/her,Ms,,,,,,,,,,,,,,C,
HYDRATE-RT-000003,ACCT-000003,,,,,,,,,,https://cust360-photos.example.com/001am00002A3039AAB.jpg,,,,,,,,,,(299) 576-9547,Excellent,Email;Text,Email,United States,Fair,593,Relational,2023-07-25,Male,Own,Intermediate,2026-05-21,Overdue,English,9070,2025-09-26,,Johnson,0.0,2027-05-27,0,0,2026-05-20,Moderate,Tier 3,Onboarding,,622929951,Medium-Term,,,,,,,,W,,,,,Operations,Male,Male,Web,Address,29.7832,-95.3969,Austin,United States,Address,30.2801,-97.7215,(528) 363-5054,77039,TX,47 Sycamore St,he/him,Mr,,,,,,,,,,,,,,C,
HYDRATE-RT-000004,ACCT-000004,,,,,,,,,,https://cust360-photos.example.com/001am00002A303AAAR.jpg,,,,,,,,,,(907) 264-3774,Excellent,Email;Text,Text,United States,Fair,603,Relational,2018-01-14,Female,Rent,Intermediate,2026-05-24,Overdue,English,7553,2025-11-23,,Johnson,0.0,2027-05-27,0,0,2026-05-20,Moderate,Tier 3,Onboarding,,786610218,Medium-Term,,,,,,,,A,,,,,Marketing,Female,Female,Phone Inquiry,Address,39.7632,-104.951,Colorado Springs,United States,Address,38.8658,-104.8485,(641) 140-9936,80247,CO,2014 Chestnut Blvd,she/her,Mrs,,,,,,,,,,,,,,C,
HYDRATE-RT-000005,ACCT-000005,,,,,,,,,,https://cust360-photos.example.com/001am00002A303BAAR.jpg,,,,,,,,,,(744) 267-8589,Excellent,Email;Text,Phone,United States,Fair,604,Relational,2009-10-04,Female,Own,Experienced,2026-05-24,Overdue,English,8211,2026-03-06,,Moore,0.0,2027-05-27,0,0,2026-05-20,Aggressive,Tier 3,Onboarding,,495237900,Long-Term,,,,,,,,D,,,,,Legal,Female,Female,Phone Inquiry,Address,40.7022,-73.9896,Albany,United States,Address,40.6796,-73.9744,(328) 488-7016,10078,NY,731 Elm Rd,she/her,Ms,,,,,,,,,,,,,,C,
HYDRATE-RT-000006,ACCT-000006,,,,,,,,,,https://cust360-photos.example.com/001am00002A303CAAR.jpg,,,,,,,,,,(922) 099-5515,Poor,Email;Text,Email,United States,Fair,581,Relational,1997-11-18,Male,Rent,Intermediate,2026-05-20,Overdue,English,1157,2025-09-05,,Miller,0.0,2027-05-27,0,0,2026-05-20,Moderate,Tier 3,Onboarding,,922068365,Medium-Term,,,,,,,,G,,,,,Customer Service,Male,Male,Web,Address,39.7689,-86.1893,Indianapolis Center,United States,Address,39.7431,-86.2006,(820) 642-2408,46216,IN,47 Cedar St,he/him,Mr,,,,,,,,,,,,,,C,
HYDRATE-RT-000007,ACCT-000007,,,,,,,,,,https://cust360-photos.example.com/001am00002A303DAAR.jpg,,,,,,,,,,(416) 271-5613,Excellent,Email;Text,Email,United States,Fair,595,Relational,2026-01-18,Female,Rent,Beginner,2026-05-20,Overdue,English,3690,2026-03-06,,Miller,0.0,2027-05-27,0,0,2026-05-20,Conservative,Tier 3,Onboarding,,597871606,Short-Term,,,,,,,,E,,,,,Operations,Female,Female,Partner,Address,36.1985,-115.0982,Las Vegas Hills,United States,Address,36.132,-115.1899,(618) 214-4864,89184,NV,102 Willow Ave,she/her,Mrs,,,,,,,,,,,,,,C,
HYDRATE-RT-000008,ACCT-000008,,,,,,,,,,https://cust360-photos.example.com/001am00002A303EAAR.jpg,,,,,,,,,,(315) 202-9784,Excellent,Email;Text,Email,United States,Good,671,Relational,2011-11-25,Male,Own,Intermediate,2026-05-24,Overdue,English,0048,2025-10-13,,Taylor,0.0,2027-05-27,0,0,2026-05-20,Moderate,Tier 3,Onboarding,,429287769,Medium-Term,,,,,,,,I,,,,,Engineering,Male,Male,Referral,Address,39.9597,-75.1371,Philadelphia Center,United States,Address,39.9026,-75.1361,(973) 311-3696,19151,PA,731 Walnut St,he/him,Dr,,,,,,,,,,,,,,C,
HYDRATE-RT-000009,ACCT-000009,,,,,,,,,,https://cust360-photos.example.com/001am00002A303FAAR.jpg,,,,,,,,,,(938) 417-0934,Excellent,Email;Text,Phone,United States,Poor,499,Relational,2014-11-20,Female,Rent,Intermediate,2026-05-20,Overdue,English,6646,2025-07-08,,Thomas,0.0,2027-05-27,0,0,2026-05-20,Moderate,Tier 3,Onboarding,,396374845,Medium-Term,,,,,,,,U,,,,,Engineering,Female,Female,Referral,Address,37.6978,-97.3786,Wichita Plaza,United States,Address,37.6616,-97.3474,(384) 962-6425,67238,KS,488 Pine Ln,she/her,Mrs,,,,,,,,,,,,,,C,
